cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
CB1023,10,-0.0,0.9857699008074342,0.38497841942138716,-2.560584830414706,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
LHAV2b2a,10,-0.0,0.9821430114714175,0.383098430625753,-2.563683202427076,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB0738,10,-0.0,0.9853184484216359,0.3841821342653403,-2.564716993687981,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
LAL110,10,-0.0,0.9926815579251481,0.38680696002960857,-2.566348748867296,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
SLP223,10,-0.0,0.9926993149518681,0.38673117126601,-2.5668975989242093,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
BM_Hau,10,-0.0,0.9886744931118966,0.38503447591631074,-2.5677557594265665,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
LHPV2a1_c,10,-0.0,1.0094662775845713,0.3929602363866532,-2.568876400489812,1.0,1.0,GABA,1.0,1,"{""GABA"": 10}"
AVLP028,10,-0.0,0.9939440925485645,0.3868438377680206,-2.5693677797308094,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
SIP014,10,-0.0,0.9964071997758288,0.3869247034355993,-2.575196649189067,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
LC31b,10,-0.0,0.9877655751415856,0.3834649766495111,-2.5758951541600843,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB2050,10,-0.0,0.9914082292444596,0.3839032455809034,-2.5824429479472353,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
PLP160,10,-0.0,0.9873162498094799,0.3816215044025212,-2.587160939358629,1.0,1.0,GABA,1.0,1,"{""GABA"": 10}"
CB1220,11,-0.0,0.9862180049384016,0.3806928100016706,-2.5905874212178417,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 11}"
CL313,11,-0.0,0.9829236222843974,0.3785723172978453,-2.59639592588349,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
DA2_lPN,11,-0.0,0.9908078256099733,0.38159100308978694,-2.596517783667032,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
LHAV4b2,10,-0.0,0.980730448243531,0.3763852923267283,-2.605655609391319,1.0,1.0,GABA,1.0,1,"{""GABA"": 10}"
Li24,10,-0.0,0.9753072074610196,0.3742053895075264,-2.6063419576734965,1.0,1.0,GABA,1.0,1,"{""GABA"": 10}"
SMP173,10,-0.0,0.993940895398846,0.3813395835860826,-2.606445641052829,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB2242,11,-0.0,0.9805372518784085,0.37597623990233303,-2.607976642707852,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
HRN_VP5,11,-0.0,1.002202550423517,0.384220429976666,-2.6084051555623464,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
SMP016_b,10,-0.0,0.9873073718286584,0.378396871397782,-2.6091848174684604,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
hDeltaJ,28,0.49123734182433315,1.1119195449733312,0.2378398546625965,-2.6096644064532746,0.995004995004995,1.0,ACH,0.8928571428571429,2,"{""ACH"": 25, ""SER"": 3}"
CB1901,10,-0.0,0.9877975418462482,0.377128098897757,-2.6192626450622805,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB1072,11,-0.0,0.9881991614517266,0.37681562293143717,-2.6225005050587638,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
DNge091,11,-0.0,0.9922172494434894,0.3782374310589281,-2.6232656209239784,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
JO-EDP,11,-0.0,0.9950185363106757,0.3791640918733403,-2.6242425314975804,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
LHPV4a10,10,-0.0,0.9962782505564975,0.3794172715231443,-2.6258115413592207,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
LCe06,11,-0.0,1.0058720299685113,0.3826651917158958,-2.6285955758299187,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
