cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
Pm03,188,1,-0.0,GABA,1.0,{'GABA': np.int64(188)}
Pm04,82,1,-0.0,GABA,1.0,{'GABA': np.int64(82)}
PEN_a/PEN1,20,1,-0.0,ACH,1.0,{'ACH': np.int64(20)}
PEN_b/PEN2,20,1,-0.0,ACH,1.0,{'ACH': np.int64(20)}
LPLC2,208,1,-0.0,ACH,1.0,{'ACH': np.int64(208)}
PFNa,54,1,-0.0,ACH,1.0,{'ACH': np.int64(54)}
Pm07,41,1,-0.0,GABA,1.0,{'GABA': np.int64(41)}
PFNd,39,1,-0.0,ACH,1.0,{'ACH': np.int64(39)}
Pm06,51,1,-0.0,GABA,1.0,{'GABA': np.int64(51)}
LC10d,188,1,-0.0,ACH,1.0,{'ACH': np.int64(188)}
PFNm,81,1,-0.0,ACH,1.0,{'ACH': np.int64(81)}
Pm05,145,1,-0.0,GABA,1.0,{'GABA': np.int64(145)}
PFNv,21,1,-0.0,ACH,1.0,{'ACH': np.int64(21)}
PLP115_b,22,1,-0.0,ACH,1.0,{'ACH': np.int64(22)}
ORN_VM7v,26,1,-0.0,ACH,1.0,{'ACH': np.int64(26)}
PAM01,28,1,-0.0,DA,1.0,{'DA': np.int64(28)}
PAM04,23,1,-0.0,DA,1.0,{'DA': np.int64(23)}
PAM05,20,1,-0.0,DA,1.0,{'DA': np.int64(20)}
PAM06,30,1,-0.0,DA,1.0,{'DA': np.int64(30)}
PFL3,24,1,-0.0,ACH,1.0,{'ACH': np.int64(24)}
KCg-d,295,1,-0.0,ACH,1.0,{'ACH': np.int64(295)}
Tlp1,139,1,-0.0,GLUT,1.0,{'GLUT': np.int64(139)}
WED057,21,1,-0.0,GABA,1.0,{'GABA': np.int64(21)}
Tm8a,234,1,-0.0,ACH,1.0,{'ACH': np.int64(234)}
LPTe01,38,1,-0.0,ACH,1.0,{'ACH': np.int64(38)}
LT51,22,1,-0.0,GLUT,1.0,{'GLUT': np.int64(22)}
LT52,29,1,-0.0,GLUT,1.0,{'GLUT': np.int64(29)}
LT57,22,1,-0.0,ACH,1.0,{'ACH': np.int64(22)}
Li03,83,1,-0.0,GABA,1.0,{'GABA': np.int64(83)}
TuBu08,22,1,-0.0,ACH,1.0,{'ACH': np.int64(22)}
Tm35,118,1,-0.0,GLUT,1.0,{'GLUT': np.int64(118)}
Tm4,1488,1,-0.0,ACH,1.0,{'ACH': np.int64(1488)}
Tm5a,451,1,-0.0,ACH,1.0,{'ACH': np.int64(451)}
BM_Ant,40,1,-0.0,ACH,1.0,{'ACH': np.int64(40)}
Tm5f,799,1,-0.0,ACH,1.0,{'ACH': np.int64(799)}
Tm7,484,1,-0.0,ACH,1.0,{'ACH': np.int64(484)}
FC1D,29,1,-0.0,ACH,1.0,{'ACH': np.int64(29)}
FC3,46,1,-0.0,ACH,1.0,{'ACH': np.int64(46)}
FS1A,36,1,-0.0,ACH,1.0,{'ACH': np.int64(36)}
Tm3,1743,1,-0.0,ACH,1.0,{'ACH': np.int64(1743)}
Tm34,71,1,-0.0,GLUT,1.0,{'GLUT': np.int64(71)}
hDeltaK,26,1,-0.0,SER,1.0,{'SER': np.int64(26)}
ER3a_a,23,1,-0.0,GABA,1.0,{'GABA': np.int64(23)}
ER3d,46,1,-0.0,GABA,1.0,{'GABA': np.int64(46)}
ER3w,25,1,-0.0,GABA,1.0,{'GABA': np.int64(25)}
ER4d,24,1,-0.0,GABA,1.0,{'GABA': np.int64(24)}
ER5,21,1,-0.0,GABA,1.0,{'GABA': np.int64(21)}
FC1A,36,1,-0.0,ACH,1.0,{'ACH': np.int64(36)}
Tm5b,456,1,-0.0,ACH,1.0,{'ACH': np.int64(456)}
LC10e,101,1,-0.0,ACH,1.0,{'ACH': np.int64(101)}
