cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
Sm22,29,0.9922666387194963,1.0943647324499366,0.23031985091815219,-0.443288293750774,0.7132867132867133,1.0,GLUT,0.5517241379310345,2,"{""GLUT"": 16, ""GABA"": 13}"
ORN_DM1,31,0.9932338197397066,1.1008157099685159,0.2172997870633998,-0.4950851157411441,0.6613386613386614,1.0,ACH,0.5483870967741935,2,"{""ACH"": 17, ""SER"": 14}"
MeTu2b,28,0.9591963191047147,1.0847084347475302,0.23650993487496003,-0.5306843271052113,0.7032967032967034,1.0,ACH,0.75,3,"{""ACH"": 21, ""GABA"": 6, ""DA"": 1}"
PFR,22,0.9373012413074895,1.0764583917340462,0.2580979201223969,-0.5391641682372517,0.7642357642357642,1.0,DA,0.7727272727272727,3,"{""DA"": 17, ""SER"": 4, ""GLUT"": 1}"
ORN_VL1,30,0.9182958340544896,1.0906032322418724,0.23148748451559528,-0.7443486568958526,0.7932067932067932,1.0,ACH,0.6666666666666666,2,"{""ACH"": 20, ""SER"": 10}"
Dm4,60,0.9603622703154779,1.1254526127388345,0.1657343377248669,-0.9961142916407615,0.8451548451548452,1.0,GLUT,0.6166666666666667,2,"{""GLUT"": 37, ""GABA"": 23}"
ORN_VA1v,60,0.9603622703154779,1.1251697472312252,0.16367115190361173,-1.006942732417529,0.8621378621378621,1.0,ACH,0.6166666666666667,2,"{""ACH"": 37, ""SER"": 23}"
Dm16,59,0.9646900825612558,1.1280121178719213,0.1621550245500908,-1.007196883129664,0.8521478521478522,1.0,GABA,0.6101694915254238,2,"{""GABA"": 36, ""GLUT"": 23}"
PFNp,158,1.0198220093446957,1.1541727405124695,0.0983711207567804,-1.3657537917042946,0.913086913086913,1.0,ACH,0.689873417721519,3,"{""ACH"": 109, ""DA"": 45, ""SER"": 4}"
LPi09,83,0.9438767571287909,1.1455523908184821,0.13750346590964166,-1.4666949109647849,0.9090909090909091,1.0,GABA,0.6385542168674698,2,"{""GABA"": 53, ""GLUT"": 30}"
JO-F,43,0.8454801825506668,1.1230584229749108,0.17990775753964677,-1.5428920032148878,0.936063936063936,1.0,ACH,0.7906976744186046,3,"{""ACH"": 34, ""SER"": 8, ""GLUT"": 1}"
JO-A,32,0.7578784625383954,1.106822397344921,0.22136534935565078,-1.576325905667847,0.942057942057942,1.0,ACH,0.78125,2,"{""ACH"": 25, ""SER"": 7}"
Dm20,62,0.8837342952634009,1.1402776965576205,0.15376446133564067,-1.6684180405915163,0.9560439560439561,1.0,GABA,0.7580645161290323,3,"{""GABA"": 47, ""GLUT"": 14, ""ACH"": 1}"
Dm12,152,0.9717150802237341,1.1594556707055697,0.10528280458487631,-1.7832027862677602,0.954045954045954,1.0,GABA,0.5986842105263158,2,"{""GABA"": 91, ""GLUT"": 61}"
T1,296,1.0255166818306294,1.1671829908025815,0.07434288752777969,-1.9055798568358766,0.9690309690309691,1.0,ACH,0.5912162162162162,3,"{""ACH"": 175, ""GABA"": 119, ""GLUT"": 2}"
Tlp14,48,0.77655578544446,1.1235289487167668,0.17894774996145302,-1.9389635429730072,0.971028971028971,1.0,GLUT,0.7708333333333334,2,"{""GLUT"": 37, ""GABA"": 11}"
ORN_DC1,22,0.5746356978376794,1.0929934575092384,0.26095992476424473,-1.9863500502609794,0.9660339660339661,1.0,ACH,0.8636363636363636,2,"{""ACH"": 19, ""SER"": 3}"
